"","city","beta_mean","beta_lb","beta_ub","rho_mean","rho_lb","rho_ub","nu_mean","nu_lb","nu_ub","N_mean","N_lb","N_ub","R0_mean","R0_lb","R0_ub"
"1","Tianjin",0.381196604963246,0.312241166879057,0.45220992517854,0.0408226856087333,0.0194077202145043,0.072666766231014,0.101592940801932,4.1797997244705e-09,0.679751633866876,150.846594676252,139.702989844494,178.038887796079,2.28717962977948,1.87344700127434,2.71325955107124
"2","Harbin",0.459058488310551,0.412929978406974,0.506992423333093,0.0103380873022522,0.00543993537545595,0.0174289110769288,0.0521621407786211,2.71345742510836e-09,0.337411114899793,216.470122174306,210.201221081214,226.306180760466,2.75435092986331,2.47757987044184,3.04195453999856
"3","Nanjing",0.483686083169401,0.402356346503899,0.566087877698023,0.0202252380654585,0.0079288883021191,0.0418462515599042,0.0658510176248885,2.62345349947063e-09,0.433402176221072,91.9769704145655,88.6329860648252,98.3869703488926,2.90211649901641,2.41413807902339,3.39652726618814
"4","Xuzhou",0.430535795987811,0.340703573436473,0.53220601390156,0.0340001423339909,0.0121353913167002,0.0699832732632433,0.130629298546189,6.88213666617157e-09,0.923305422863392,90.725717749895,83.9381178321212,114.837225775115,2.58321477592687,2.04422144061884,3.19323608340936
"5","Suzhou",0.48828446944094,0.395676095232316,0.582709990327581,0.0317583073731585,0.0127872039252729,0.0641268709544669,0.0773192762834711,3.52694386467803e-09,0.513032464719414,91.7573621730633,88.2469460837358,99.2299475060496,2.92970681664564,2.37405657139389,3.49625994196548
"6","Huai'an",0.444244245665981,0.356223428536595,0.540675941677591,0.0185283830559813,0.00561679447596291,0.0419733261196972,0.128679367473303,3.65095703705431e-09,0.849753812984721,76.4301791959394,69.8843168978918,93.0032497478521,2.66546547399588,2.13734057121957,3.24405565006555
"7","Hangzhou",0.50881391638009,0.426056340761908,0.599802548944373,0.0492444440657932,0.0259175207864383,0.0829347606325447,0.0831195294351606,2.78891060505446e-09,0.528703632073902,180.584203536599,175.747547627724,191.736743558875,3.05288349828054,2.55633804457145,3.59881529366624
"8","Ningbo",0.621500449565723,0.546035251943363,0.699299541383516,0.0106180270222509,0.00489961222915115,0.019747275795595,0.0446342768903291,2.32379610596988e-09,0.283744005391253,153.463215075618,151.583103076039,156.552014482968,3.72900269739434,3.27621151166018,4.19579724830109
"9","Wenzhou",0.522140780850363,0.477655903711485,0.581945126126082,0.0337771506887686,0.0225947889368128,0.04626349993902,0.0732338684501058,3.08392082039231e-09,0.478388631840971,525.172868182031,516.84808741774,548.84687822487,3.13284468510218,2.86593542226891,3.49167075675649
"10","Taizhou",0.881344751021377,0.561778486605091,1.33104766758906,0.0102356855580972,0.000464857709938837,0.034911334118013,0.855426753097905,6.63240682579299e-06,2.21500194012841,166.351631537033,131.408690803897,296.532843976431,5.28806850612826,3.37067091963055,7.98628600553436
"11","Hefei",0.461819506955691,0.403847093806287,0.520268265109238,0.0235078764731482,0.0125470430705038,0.0397836384574219,0.0533755786719862,2.74833802877685e-09,0.345872008248452,183.069299669047,177.589325388228,192.000906012553,2.77091704173415,2.42308256283772,3.12160959065543
"12","Bengbu",0.576261817035765,0.517505523303097,0.637805843962722,0.00306514552865495,0.00127803226410316,0.00602500089105518,0.0430587627290774,2.6677240943485e-09,0.275015958430784,168.912410386105,166.387062705883,172.802972878942,3.45757090221459,3.10503313981858,3.82683506377633
"13","Anqing",0.528064784164228,0.427672121435117,0.631858938120763,0.0248595297050294,0.00940993971666209,0.0526317828767561,0.0757093773510071,3.85861161148198e-09,0.494478256529423,86.9938498830617,84.2983067268086,92.8743662262779,3.16838870498537,2.5660327286107,3.79115362872458
"14","Fuyang",0.445348494849099,0.383536872281096,0.507710145692842,0.0297816293214059,0.0156401889717448,0.0511251720091889,0.0582163915037068,2.6295115366502e-09,0.377267730688159,170.607563651052,164.623555278685,180.804154129247,2.67209096909459,2.30122123368658,3.04626087415705
"15","Lu'an",0.546241811437282,0.450779086086561,0.658145110482064,0.00804243699985531,0.00208407663371908,0.0195283858720974,0.107037446401601,4.41113610824144e-09,0.6840446567357,72.7717491929635,69.858632656774,80.8559432716479,3.27745086862369,2.70467451651937,3.94887066289238
"16","Bozhou",0.494279246432092,0.421008317345818,0.568067463303904,0.0164010659719441,0.00694887030175417,0.0323371630745459,0.0542640550989066,2.66143381146266e-09,0.351232890008727,115.956500182567,112.509793293278,121.895123184182,2.96567547859255,2.5260499040749,3.40840477982342
"17","Fuzhou",0.372597775846636,0.201700851967993,0.610435704549315,0.118777341739026,0.0204574082433459,0.284170315798763,0.290715104910345,1.21748137938779e-08,1.95525567951692,89.0163198507538,69.1743794258515,188.371985387773,2.23558665507981,1.21020511180796,3.66261422729589
"18","Putian",0.441777901615597,0.287175665429472,0.595182457712607,0.0709132842535501,0.0187685032925635,0.178706359103952,0.166588313654768,4.22115124419448e-09,1.14669585519732,64.6570164767374,56.1481155281081,88.6435242211137,2.65066740969358,1.72305399257683,3.57109474627564
"19","Nanchang",0.483543445529804,0.423553938241073,0.635125236652744,0.0241776702844406,0.00653288569179528,0.0389513806559589,0.129424830887681,6.00536494181018e-09,1.14124392487677,253.555792996638,240.320747568437,336.353776589661,2.90126067317883,2.54132362944644,3.81075141991646
"20","Jiujiang",0.552424588007738,0.443586961844121,0.784483232239611,0.0239268386534191,0.00449442128751386,0.0481000516570116,0.243126649660809,1.71413783583275e-08,1.39685408231007,131.618383774065,120.741882872508,191.33505549536,3.31454752804643,2.66152177106472,4.70689939343767
"21","Xinyu",0.516813899983236,0.448208902696613,0.594055253229409,0.0138375094293636,0.00614078080842818,0.0257173586437138,0.0817994250486849,2.80537376472018e-09,0.54155492245993,137.908151501152,133.93097333371,147.649199230679,3.10088339989942,2.68925341617968,3.56433151937645
"22","Ganzhou",0.475885156091157,0.376621871971853,0.574974791663773,0.036916966026552,0.0141555325487992,0.0776327853434403,0.0725693702279734,2.46708261865213e-09,0.483209655145521,83.4663153587153,80.0134157032414,90.6911256066799,2.85531093654694,2.25973123183112,3.44984874998264
"23","Yichun",0.437891922932217,0.369810846183115,0.506242132244377,0.0224696627464825,0.00992835867217816,0.0429081510466951,0.0670402875120122,3.53554010569381e-09,0.439518570797544,118.225671682748,112.926528028285,128.101176363567,2.6273515375933,2.21886507709869,3.03745279346626
"24","Fuzhou",0.524334024286756,0.428630450750595,0.620846652316311,0.0163910638294395,0.00540429013336973,0.037474262091058,0.0575796490059219,2.76777860866003e-09,0.370653885234916,76.4001718843852,74.1240241989151,80.6917786875973,3.14600414572053,2.57178270450357,3.72507991389787
"25","Shangrao",0.609314093456193,0.534720556871958,0.687989093390817,0.00445024970690653,0.00167546770841794,0.00930781651159899,0.045204343235751,2.28239551699345e-09,0.28971423907044,127.179966615002,125.367195881945,130.12915050465,3.65588456073716,3.20832334123175,4.1279345603449
"26","Zhengzhou",0.372154594450121,0.298509566716253,0.441818550327296,0.0638626703373629,0.033453202978192,0.11057938755074,0.0785778647724593,2.66371329631186e-09,0.516125269762715,174.637750550731,163.254547718125,198.212913682267,2.23292756670073,1.79105740029752,2.65091130196377
"27","Nanyang",0.409259949944543,0.329665394319123,0.487867550507046,0.0681643400295086,0.0360914829118879,0.117125847842015,0.0838368618121856,3.32668666213722e-09,0.553034222082209,175.40573201397,166.643503755851,194.355999422836,2.45555969966726,1.97799236591473,2.92720530304228
"28","Shangqiu",0.557667654637991,0.461720258554761,0.664714357944936,0.019459148656972,0.00726219442475058,0.0400861707038097,0.0851701801360504,3.28309509738226e-09,0.549436500052704,94.8290617470092,92.1845734116425,101.170479579837,3.34600592782794,2.77032155132857,3.98828614766962
"29","Xinyang",0.464632802220375,0.419014379964241,0.511253439938506,0.0185957877189827,0.0111356625217521,0.0288125931215986,0.051768168124065,2.02742560247235e-09,0.331774030123226,292.901486663559,285.643458784648,304.308155527893,2.78779681332225,2.51408627978544,3.06752063963104
"30","Zhoukou",0.389248756969635,0.228881460508218,0.612468360443466,0.102629580910982,0.0190515442374789,0.239596832340476,0.267922057992092,1.57698056198122e-08,1.79557780222804,98.8648755401159,80.8101175299457,189.025767598134,2.33549254181781,1.37328876304931,3.6748101626608
"31","Zhumadian",0.541603025627389,0.470934324045382,0.613391003884038,0.0145634988169344,0.00677886748728309,0.0270037183443001,0.0491267765248231,2.44833488051254e-09,0.320682341727796,143.000519709721,140.135282489544,147.750771348347,3.24961815376433,2.82560594427229,3.68034602330423
"32","Huangshi",0.473193171375013,0.450337725879614,0.496376219006552,0.0152129800294828,0.0117946554896649,0.0192319146000476,0.0297905576387777,1.13288024056433e-09,0.189588011969007,1129.10306567524,1115.68734853427,1145.9331637583,2.83915902825008,2.70202635527768,2.97825731403931
"33","Shiyan",0.401684953357511,0.373502787746919,0.431432995123015,0.0302416869821933,0.0222461652587919,0.0395127667120219,0.054547492423748,2.86632291580859e-09,0.353066756170969,759.79702588031,739.812655854218,792.811882440263,2.41010972014506,2.24101672648151,2.58859797073809
"34","Yichang",0.633581028826811,0.477347483316831,0.771187975249779,0.00563455400331081,0.000850723665210987,0.0175837095916087,1.37059032187349,0.160108133523557,2.99966579564226,1818.02610350441,1034.15133954313,4204.80019787498,3.80148617296087,2.86408489990098,4.62712785149868
"35","Xiangyang",0.535317536568451,0.51085289400504,0.561704121008699,0.0146619390987785,0.0114418716111285,0.0183205291683817,0.041755851002566,1.8643984747111e-09,0.259364829085418,1231.90309354929,1221.82909336298,1249.06580176855,3.21190521941071,3.06511736403024,3.37022472605219
"36","Ezhou",0.431969762801357,0.416271620013737,0.447884754420484,0.00874673363246662,0.00692122416575079,0.0108566840399687,0.0157492901683591,8.28721978664203e-10,0.0998093065302443,1568.47406544713,1548.26095508269,1590.99525990414,2.59181857680814,2.49762972008242,2.6873085265229
"37","Jingmen",0.356952657889907,0.336751507324555,0.376807600946743,0.0330109003665717,0.0265135647011113,0.0405446967892887,0.0350464080094443,1.31228552243183e-09,0.225679033514364,1311.12873962797,1274.6820356184,1357.98036930721,2.14171594733944,2.02050904394733,2.26084560568046
"38","Xiaogan",0.484758137334399,0.457592124831618,0.519269531124352,0.0105544156460166,0.0074422018803376,0.0136584182097082,0.299780681754581,9.66828591224659e-07,0.604176824339421,3939.63377442606,3789.82235900744,4209.75886304501,2.90854882400639,2.74555274898971,3.11561718674611
"39","Jingzhou",0.452667773194274,0.436009120832533,0.469569592085151,0.013159060335805,0.010786274073647,0.0158751657500894,0.0308117052947549,1.22966852814692e-09,0.197619572733466,1753.51461031121,1734.27412974698,1778.65001294628,2.71600663916564,2.6160547249952,2.8174175525109
"40","Huanggang",0.462287603003255,0.448489845843033,0.476371800106454,0.0215059474756308,0.0186842492285234,0.0245727587218804,0.0205258197945607,9.92735290704715e-10,0.131530434404441,3143.95520968433,3120.17415915239,3171.0449385725,2.77372561801953,2.6909390750582,2.85823080063872
"41","Xianning",0.361130057978484,0.3415044106524,0.380417799714657,0.0258743460237763,0.0203874828676781,0.0322809744556259,0.0288656078392161,1.07005941583986e-09,0.182816639349574,1111.09430670665,1080.70660144741,1148.28590960951,2.1667803478709,2.0490264639144,2.28250679828794
"42","Suizhou",0.517412719091565,0.493213955874603,0.553387458688994,0.0123101937950552,0.00886579544634995,0.0155146268685173,0.0734374932150853,3.69709780663527e-09,0.41475157069094,1376.43347680771,1360.86442175396,1422.71386968336,3.10447631454939,2.95928373524762,3.32032475213397
"43","Changsha",0.540022410230324,0.482251525400814,0.604206209291667,0.0181412628868149,0.0101207114957961,0.0291194843131007,0.0652682318340664,3.31459287375108e-09,0.419822087976135,242.188658712309,237.747403826289,251.234731053424,3.24013446138194,2.89350915240489,3.62523725575
"44","Zhuzhou",0.447205484811236,0.364515536351055,0.53046260537807,0.0214624502588089,0.00770609297128869,0.046216857126184,0.0800499441159683,2.84489026808167e-09,0.536759807071759,84.7718737217378,80.2734450933758,94.1767681947812,2.68323290886742,2.18709321810633,3.18277563226842
"45","Shaoyang",0.477352462857979,0.385938017340851,0.573209940719314,0.0406976430396148,0.0177886635020407,0.0781275951349068,0.0832989051879758,5.27830724408175e-09,0.554645958768505,109.433069125481,105.137559083263,119.203176408349,2.86411477714787,2.3156281040451,3.43925964431588
"46","Yueyang",0.475105294418463,0.412995544375678,0.539082297747072,0.0223596998394649,0.0114536443878175,0.0387815077139902,0.062249237393133,3.42551875071563e-09,0.402568301065394,165.76283834507,160.797691967028,174.575528691357,2.85063176651078,2.47797326625407,3.23449378648243
"47","Changde",0.34752088739955,0.205379211105684,0.50115788377297,0.115725059930225,0.031067209953599,0.251603142179008,0.238716239786038,1.13208291434742e-08,1.65859375498868,117.73206142846,88.7925564853258,211.975828305759,2.0851253243973,1.2322752666341,3.00694730263782
"48","Loudi",0.483399316019569,0.384397536858159,0.585777070629745,0.0267761757484458,0.00929187569873396,0.0588820727877947,0.0856415411156964,3.01313360756611e-09,0.566445227760501,77.2581856424987,73.7504102299435,85.0462133622197,2.90039589611741,2.30638522114895,3.51466242377847
"49","Zhuhai",0.527651929452636,0.416727055213629,0.717942908680858,0.0246872887963295,0.00561245089648835,0.0528397022114384,0.197322845042054,1.09851019067784e-08,1.16505340547,99.7984657032212,92.9839362059613,132.531445002464,3.16591157671582,2.50036233128177,4.30765745208515
"50","Huizhou",0.412110247915844,0.29421769526665,0.529408422794564,0.0412242303406849,0.0116625568012583,0.100189312424536,0.136859151151723,5.85126836741534e-09,0.942263583413977,65.1606828415861,58.3523000280708,87.5361182104634,2.47266148749506,1.7653061715999,3.17645053676739
"51","Dongguan",0.361663733739506,0.285025218056623,0.453068761616761,0.0333550624969996,0.00965861277110682,0.0652315219755853,0.224731437915797,1.00640649839641e-08,1.54046195685889,133.671380402537,111.64229994819,249.698011373591,2.16998240243704,1.71015130833974,2.71841256970056
"52","Chongqing",0.347810380173231,0.308058794568104,0.386750352003463,0.0849820031744231,0.0621389452009931,0.113184360624782,0.0515118777728426,2.14594772471713e-09,0.334012247007859,653.05734259735,626.472506239442,693.145002569326,2.08686228103939,1.84835276740862,2.32050211202078
"53","Xi'an",0.45356452915752,0.378555764354208,0.531167097105268,0.0297297310560785,0.013547437989805,0.0553405506917696,0.0782073635052158,2.94493322710985e-09,0.513965879358017,127.730209471666,122.356863680728,138.742202754994,2.72138717494512,2.27133458612525,3.18700258263161
